"pro-id";"Nom";"Commune";"Début d'activité";"Fin d'activité";"Prédécesseur";"Successeur";"adresse";"coordonnées";"imprimerie";"patron";"libraire";"Date de brevet (libraire)";"lithographe";"Date de brevet (imprimeur-lithographe)";"imprimeur";"Date de brevet (imprimeur)";"graveur";"relieur";"typographe";"Linotypiste";"journaliste";"photographe";"marchand de journaux";"porteur de journaux";"Notes"
303;-472667725;1;;;;;"8 rue Neuve-Notre-Dame";;18;0;0;;0;;0;;0;1;0;0;0;0;0;0;"Patron : Dutilleux"
304;1684776568;1;;;;;"14 rue Neuve-Notre-Dame";"50.366236, 3.085908";;0;0;;0;;0;;0;0;1;0;0;0;0;0;"Patronne : veuve Linez"
305;-1535372519;1;;;;;"2 ruelle d'Anchin";"50.366460, 3.085388";;0;0;;0;;0;;0;0;1;0;0;0;0;0;"Chômage"
306;1815597414;1;;;;;"1 ruelle d'Anchin";"50.366432, 3.085463";30;0;0;;0;;0;;0;0;0;0;0;0;0;1;"Patron : Wacquez"
307;124875503;1;;;;;"13 rue de Cambrai";"50.362583, 3.078551";;1;0;;0;;0;;0;0;0;0;0;1;0;0;"Patron : lui-même"
308;-1930170876;1;;;;;"3 rue du Canteleux";"50.369591, 3.082896";;0;0;;0;;0;;0;0;0;0;1;0;0;0;"Echo du Nord"
309;1538813621;1;;;;;"15 rue du Canteleux";"50.369377, 3.083459";17;0;0;;0;;0;;0;0;0;1;0;0;0;0;"Patron : Crépin"
310;-1222503470;1;;;;;"43 rue du Canteleux";;;0;0;;0;;0;;0;1;0;0;0;0;0;0;"Patron : lui-même"
311;692856811;1;;;;;"13 rue du Gouvernement";"50.370611, 3.078436";;0;0;;0;;1;;0;0;0;0;0;0;0;0;"Patron : lui-même"
312;1375741520;1;;;;;"13 rue du Gouvernement";"50.370611, 3.078436";;0;0;;0;;1;;0;0;0;0;0;0;0;0;"Patron : Falempin"
313;-1871537135;1;;;;;"13 rue du Gouvernement";"50.370611, 3.078436";;0;0;;0;;1;;0;0;0;0;0;0;0;0;"Patron : Falempin"
314;-878922498;1;;;;;"4 rue Notre-Dame-des-Wetz";"50.371904, 3.079248";;0;0;;0;;1;;0;0;0;0;0;0;0;0;"Patronne : Herfeuille Clémence"
315;1588069543;1;;;;;"4 rue Notre-Dame-des-Wetz";"50.371904, 3.079248";;0;1;;0;;0;;0;0;0;0;0;0;0;0;"Patronne : elle-même"
316;-1099506852;1;;;;;;;;0;0;;0;;1;;0;0;0;0;0;0;0;0;"Patron : lui-même"
318;1947213073;1;;;;;"10 rue Victor Hugo [?]";;;0;0;;0;;0;;0;1;0;0;0;0;0;0;
321;-481352772;1;1877;1879;;;;;;0;0;;0;;0;;0;0;0;0;1;0;0;0;"L'ami du peuple"
323;1376006157;1;1880;1904;-481352772;;;;;0;0;;0;;0;;0;0;0;0;1;0;0;0;"L'ami du peuple"
324;-1339547574;1;;;;;;;;0;0;;0;;0;;0;0;0;0;0;0;0;0;
328;-326616842;1;;;;;;;;0;0;;0;;0;;0;0;0;0;1;0;0;0;"Annonces et affiches du département du nord"
329;-2132349099;1;;;;;;;3;0;0;;0;;0;;0;0;0;0;1;0;0;0;"Echo Douaisien"
330;1915595700;1;;;;;;;;0;0;;0;;1;;0;0;0;0;1;0;0;0;"Journal d'Agriculture du Département du Nord"
331;1400645025;1;;;;;;;;0;0;;0;;0;;0;0;0;0;1;0;0;0;"Journal d'Agriculture du Département du Nord"
332;971064142;1;;;;;;;;0;0;;0;;0;;0;0;0;0;1;0;0;0;"Journal d'Agriculture du Département du Nord"
333;-1533290389;1;;;;;;;;0;0;;0;;0;;0;0;0;0;1;0;0;0;"Le Libéral du Nord"
334;1409793558;1;;;;;;;;0;0;;0;;0;;0;0;0;0;1;0;0;0;"Le Petit Douaisien"
335;1369714143;1;;;;;;;;0;0;;0;;0;;0;0;0;0;1;0;0;0;"Le Petit Douaisien"
336;-914469288;1;;;;;;;;0;0;;0;;0;;0;0;0;0;1;0;0;0;"La Revanche de l'Armée du Nord"
337;1407177700;1;;;;;;;;0;0;;0;;0;;0;0;0;0;1;0;0;0;"Revue Indépendante du Nord"
338;-1171526478;1;;;;;;;;0;0;;0;;0;;0;0;0;0;1;0;0;0;"Le Salon du Nord"
339;910367202;1;;;;;;;;0;0;;0;;0;;0;0;0;0;1;0;0;0;"Douai Nouveau"
340;-551417731;1;;;;;;;;0;1;;0;;0;;0;0;0;0;0;0;0;0;
